Elevation_Bin,Event,Year,Area_ha
0 - 1000m,Abandonment,2003,19280.682352941174
0 - 1000m,Abandonment,2004,18646.661294117646
0 - 1000m,Abandonment,2005,15592.491529411765
0 - 1000m,Abandonment,2006,13709.934352941174
0 - 1000m,Abandonment,2007,13383.705529411765
0 - 1000m,Abandonment,2008,15303.769411764704
0 - 1000m,Recultivation,2008,1120.3902352941177
0 - 1000m,Abandonment,2009,15533.25917647059
0 - 1000m,Recultivation,2009,2232.1556470588234
0 - 1000m,Abandonment,2010,14768.382
0 - 1000m,Recultivation,2010,2522.422588235294
0 - 1000m,Abandonment,2011,13630.72270588235
0 - 1000m,Recultivation,2011,2780.7437647058823
0 - 1000m,Abandonment,2012,1818.8332941176468
0 - 1000m,Recultivation,2012,214.92
0 - 1000m,Abandonment,2013,25438.07258823529
0 - 1000m,Recultivation,2013,6517.0192941176465
0 - 1000m,Abandonment,2014,16874.617411764706
0 - 1000m,Recultivation,2014,4459.538117647058
0 - 1000m,Abandonment,2015,16487.576823529413
0 - 1000m,Recultivation,2015,4400.055529411766
0 - 1000m,Abandonment,2016,17433.378
0 - 1000m,Recultivation,2016,4494.552352941177
0 - 1000m,Abandonment,2017,17635.31894117647
0 - 1000m,Recultivation,2017,3884.7511764705896
0 - 1000m,Abandonment,2018,9699.926823529413
0 - 1000m,Recultivation,2018,2137.12694117647
0 - 1000m,Recultivation,2019,2841.831882352941
0 - 1000m,Recultivation,2020,8140.387764705882
1000 - 2000m,Abandonment,2003,20862.74294117647
1000 - 2000m,Abandonment,2004,17987.015294117646
1000 - 2000m,Abandonment,2005,15287.486823529409
1000 - 2000m,Abandonment,2006,14202.305294117648
1000 - 2000m,Abandonment,2007,15560.026235294115
1000 - 2000m,Abandonment,2008,18400.499647058823
1000 - 2000m,Recultivation,2008,1247.1561176470589
1000 - 2000m,Abandonment,2009,16355.537647058822
1000 - 2000m,Recultivation,2009,2274.93
1000 - 2000m,Abandonment,2010,17769.49094117647
1000 - 2000m,Recultivation,2010,2456.999294117647
1000 - 2000m,Abandonment,2011,17416.038352941177
1000 - 2000m,Recultivation,2011,2611.819411764706
1000 - 2000m,Abandonment,2012,1675.8
1000 - 2000m,Recultivation,2012,105.21
1000 - 2000m,Abandonment,2013,31952.9865882353
1000 - 2000m,Recultivation,2013,6154.985294117646
1000 - 2000m,Abandonment,2014,20276.197411764708
1000 - 2000m,Recultivation,2014,3179.9399999999996
1000 - 2000m,Abandonment,2015,18824.043176470586
1000 - 2000m,Recultivation,2015,3400.076823529412
1000 - 2000m,Abandonment,2016,18374.348470588233
1000 - 2000m,Recultivation,2016,4028.3325882352938
1000 - 2000m,Abandonment,2017,16233.078705882353
1000 - 2000m,Recultivation,2017,3765.5209411764704
1000 - 2000m,Abandonment,2018,10756.76294117647
1000 - 2000m,Recultivation,2018,1627.3799999999999
1000 - 2000m,Recultivation,2019,2475.99
1000 - 2000m,Recultivation,2020,5685.03
2000 - 3000m,Abandonment,2003,3182.4282352941177
2000 - 3000m,Abandonment,2004,2589.033529411765
2000 - 3000m,Abandonment,2005,2526.671294117647
2000 - 3000m,Abandonment,2006,2552.468823529412
2000 - 3000m,Abandonment,2007,2731.4654117647056
2000 - 3000m,Abandonment,2008,3328.7435294117645
2000 - 3000m,Recultivation,2008,405.120705882353
2000 - 3000m,Abandonment,2009,2891.958352941176
2000 - 3000m,Recultivation,2009,724.23
2000 - 3000m,Abandonment,2010,2793.8336470588233
2000 - 3000m,Recultivation,2010,758.2542352941176
2000 - 3000m,Abandonment,2011,2722.536
2000 - 3000m,Recultivation,2011,715.2187058823529
2000 - 3000m,Abandonment,2012,304.02529411764704
2000 - 3000m,Recultivation,2012,23.13
2000 - 3000m,Abandonment,2013,4979.854941176471
2000 - 3000m,Recultivation,2013,1343.8958823529413
2000 - 3000m,Abandonment,2014,3815.6110588235297
2000 - 3000m,Recultivation,2014,679.9189411764706
2000 - 3000m,Abandonment,2015,3383.7363529411764
2000 - 3000m,Recultivation,2015,638.3788235294118
2000 - 3000m,Abandonment,2016,3029.259882352941
2000 - 3000m,Recultivation,2016,684.6363529411765
2000 - 3000m,Abandonment,2017,2564.556352941176
2000 - 3000m,Recultivation,2017,666.9698823529412
2000 - 3000m,Abandonment,2018,1447.281882352941
2000 - 3000m,Recultivation,2018,462.12423529411757
2000 - 3000m,Recultivation,2019,632.8616470588236
2000 - 3000m,Recultivation,2020,2068.56
3000 - 4000m,Abandonment,2003,139.59
3000 - 4000m,Abandonment,2004,121.58999999999999
3000 - 4000m,Abandonment,2005,86.22
3000 - 4000m,Abandonment,2006,86.58
3000 - 4000m,Abandonment,2007,84.86999999999999
3000 - 4000m,Abandonment,2008,112.5
3000 - 4000m,Recultivation,2008,13.32
3000 - 4000m,Abandonment,2009,120.06
3000 - 4000m,Recultivation,2009,35.64
3000 - 4000m,Abandonment,2010,134.91
3000 - 4000m,Recultivation,2010,40.41
3000 - 4000m,Abandonment,2011,140.3029411764706
3000 - 4000m,Recultivation,2011,51.21
3000 - 4000m,Abandonment,2012,5.31
3000 - 4000m,Recultivation,2012,0.36
3000 - 4000m,Abandonment,2013,160.44317647058824
3000 - 4000m,Recultivation,2013,58.68
3000 - 4000m,Abandonment,2014,156.32999999999998
3000 - 4000m,Recultivation,2014,50.489999999999995
3000 - 4000m,Abandonment,2015,161.28
3000 - 4000m,Recultivation,2015,49.589999999999996
3000 - 4000m,Abandonment,2016,84.6
3000 - 4000m,Recultivation,2016,53.46
3000 - 4000m,Abandonment,2017,61.11
3000 - 4000m,Recultivation,2017,52.47
3000 - 4000m,Abandonment,2018,31.68
3000 - 4000m,Recultivation,2018,64.97223529411764
3000 - 4000m,Recultivation,2019,63.629999999999995
3000 - 4000m,Recultivation,2020,404.90999999999997
4000 - 5000m,Abandonment,2003,5.13
4000 - 5000m,Abandonment,2004,3.69
4000 - 5000m,Abandonment,2005,1.98
4000 - 5000m,Abandonment,2006,1.71
4000 - 5000m,Abandonment,2007,1.6199999999999999
4000 - 5000m,Abandonment,2008,0.36
4000 - 5000m,Recultivation,2008,0.72
4000 - 5000m,Abandonment,2009,0.44999999999999996
4000 - 5000m,Recultivation,2009,1.17
4000 - 5000m,Abandonment,2010,1.26
4000 - 5000m,Recultivation,2010,0.72
4000 - 5000m,Abandonment,2011,4.5
4000 - 5000m,Recultivation,2011,0.54
4000 - 5000m,Abandonment,2012,2.34
4000 - 5000m,Abandonment,2013,11.61
4000 - 5000m,Recultivation,2013,0.27
4000 - 5000m,Abandonment,2014,7.739999999999999
4000 - 5000m,Recultivation,2014,0.36
4000 - 5000m,Abandonment,2015,3.33
4000 - 5000m,Recultivation,2015,0.54
4000 - 5000m,Abandonment,2016,1.17
4000 - 5000m,Recultivation,2016,1.26
4000 - 5000m,Abandonment,2017,1.44
4000 - 5000m,Recultivation,2017,0.27
4000 - 5000m,Abandonment,2018,1.53
4000 - 5000m,Recultivation,2018,0.27
4000 - 5000m,Recultivation,2019,0.09
4000 - 5000m,Recultivation,2020,0.09
5000 - 6000m,Abandonment,2003,0.18
5000 - 6000m,Abandonment,2004,0.54
