point_id,mean,min,max,std,status,lc2022,total_peaks,geo
00000000000000000000,0.6995,0.4741,0.8753,0.0934,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[85.88159066960328,27.791762011999406]}"
00000000000000000001,0.5945,0.2856,0.863,0.1399,STABLE NON-CROP (Forest),4,20.0,"{""type"":""Point"",""coordinates"":[86.03439514450277,27.554876727636145]}"
00000000000000000002,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[88.02515189161157,27.257624133211337]}"
00000000000000000003,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.69140954608122,27.83650017286863]}"
00000000000000000004,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[84.96423318718102,28.323478598915454]}"
00000000000000000005,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[85.67893344492627,28.073385457231893]}"
00000000000000000006,0.5127,-0.035,0.9038,0.2209,DISCARDED (Crop or Disturbance),9,17.0,"{""type"":""Point"",""coordinates"":[81.97149413785766,29.967393088784075]}"
00000000000000000007,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[83.54372411919108,28.689717945738124]}"
00000000000000000008,0.7625,0.568,0.8696,0.0624,STABLE NON-CROP (Rangeland),4,10.0,"{""type"":""Point"",""coordinates"":[82.13642290852145,28.87755757761453]}"
00000000000000000009,0.7193,0.2345,0.9273,0.1152,DISCARDED (Crop or Disturbance),4,8.0,"{""type"":""Point"",""coordinates"":[84.3406189866545,28.20247197362809]}"
0000000000000000000a,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[84.18134881522752,29.218736776516838]}"
0000000000000000000b,0.1294,0.0517,0.2453,0.0352,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.10741445841457,28.9713413909706]}"
0000000000000000000c,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.74649374857962,26.93692558544751]}"
0000000000000000000d,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.23272857531956,27.72843385883837]}"
0000000000000000000e,0.6277,0.2685,0.8585,0.1124,STABLE NON-CROP (Forest),4,19.0,"{""type"":""Point"",""coordinates"":[80.46663671434074,29.01472844422063]}"
0000000000000000000f,0.7326,0.5222,0.8666,0.0725,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[82.5897128261095,28.452293110147398]}"
00000000000000000010,0.645,0.2405,0.8984,0.1614,DISCARDED (Crop or Disturbance),4,21.0,"{""type"":""Point"",""coordinates"":[87.69071039440102,27.433874561449844]}"
00000000000000000011,0.7392,0.5355,0.8772,0.0822,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[81.63139404141029,29.021466145912388]}"
00000000000000000012,0.6601,0.2774,0.9563,0.1706,STABLE NON-CROP (Forest),4,21.0,"{""type"":""Point"",""coordinates"":[81.45622271562672,29.534044271107046]}"
00000000000000000013,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.36542789075426,26.689262653838078]}"
00000000000000000014,0.6884,0.4841,0.8699,0.0952,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[81.57857153033116,28.87782512367774]}"
00000000000000000015,,,,,DISCARDED (Insufficient Samples),8,,"{""type"":""Point"",""coordinates"":[80.95738753987878,30.252516928343514]}"
00000000000000000016,0.7373,0.3685,0.8739,0.0872,STABLE NON-CROP (Rangeland),11,17.0,"{""type"":""Point"",""coordinates"":[86.02711789158354,27.576708486393823]}"
00000000000000000017,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[82.29866284125004,29.817825921249398]}"
00000000000000000018,0.6414,0.2212,0.8795,0.1154,DISCARDED (Crop or Disturbance),4,20.0,"{""type"":""Point"",""coordinates"":[80.55556902575067,29.371273705353115]}"
00000000000000000019,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.54957492336581,27.255198382238262]}"
0000000000000000001a,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[81.59447268468776,29.34027849393061]}"
0000000000000000001b,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[82.8654056669409,29.051382254879965]}"
0000000000000000001c,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.30829342895645,26.87440452957714]}"
0000000000000000001d,0.0428,0.0038,0.0581,0.0087,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.18475756618659,29.41277455885754]}"
0000000000000000001e,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[83.58549697785976,28.52344252655618]}"
0000000000000000001f,0.5521,0.2387,0.826,0.1361,DISCARDED (Crop or Disturbance),10,19.0,"{""type"":""Point"",""coordinates"":[80.29389113953025,29.015540000612365]}"
00000000000000000020,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.82131946201068,27.432795458994907]}"
00000000000000000021,0.725,0.4105,0.9163,0.1242,STABLE NON-CROP (Rangeland),4,19.0,"{""type"":""Point"",""coordinates"":[83.19068817058766,27.957502339054937]}"
00000000000000000022,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[82.70020935021388,29.35186769756852]}"
00000000000000000023,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.42254605030946,28.395970204741328]}"
00000000000000000024,0.674,0.2676,0.912,0.1494,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[87.5136484097708,26.684139146727667]}"
00000000000000000025,0.7536,0.3537,0.9169,0.1015,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[85.53582751481802,27.99981474895108]}"
00000000000000000026,0.7001,0.493,0.9728,0.094,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[81.66049859398613,29.019851951331038]}"
00000000000000000027,,,,,DISCARDED (Insufficient Samples),11,,"{""type"":""Point"",""coordinates"":[87.77640539844614,27.425522665176732]}"
00000000000000000028,0.6807,0.3006,0.8929,0.149,STABLE NON-CROP (Forest),4,16.0,"{""type"":""Point"",""coordinates"":[80.25858843649011,29.081833455973936]}"
00000000000000000029,0.7177,0.3198,0.9295,0.1185,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[84.40125830188032,28.08120226137858]}"
0000000000000000002a,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.78788665647357,28.475203971360003]}"
0000000000000000002b,0.0693,0.0278,0.1058,0.0157,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.8132188095582,28.847641468646962]}"
0000000000000000002c,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[86.81835415981014,27.65593779391144]}"
0000000000000000002d,0.6846,0.2559,0.9228,0.1488,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[81.47454516185535,28.63124129452324]}"
0000000000000000002e,0.6042,0.1566,0.9027,0.1329,DISCARDED (Crop or Disturbance),4,18.0,"{""type"":""Point"",""coordinates"":[85.80478711305872,27.954809042018653]}"
0000000000000000002f,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.46576165996524,27.165726519600867]}"
00000000000000000030,0.662,0.275,0.8967,0.1321,STABLE NON-CROP (Forest),4,19.0,"{""type"":""Point"",""coordinates"":[86.10769830672035,27.2465744808009]}"
00000000000000000031,0.7402,0.4782,0.9192,0.1061,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[81.95559298350106,29.874416372718674]}"
00000000000000000032,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.83756796265683,28.24855678301546]}"
00000000000000000033,0.5,0.1611,0.8775,0.1854,DISCARDED (Crop or Disturbance),4,22.0,"{""type"":""Point"",""coordinates"":[82.67999624513862,27.71576555274553]}"
00000000000000000034,0.736,0.3297,0.9599,0.1318,STABLE NON-CROP (Forest),4,11.0,"{""type"":""Point"",""coordinates"":[85.86650107163841,27.203454973614075]}"
00000000000000000035,0.0996,0.044,0.2107,0.0333,STABLE NON-CROP (Barren/Water),5,0.0,"{""type"":""Point"",""coordinates"":[85.99235473977087,26.90296953092552]}"
00000000000000000036,0.7296,0.546,0.8856,0.0556,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[85.07283905243875,27.65054674073783]}"
